Date,Title,Category,Supplier,Sales Quantity,Original Price,Discount %,Final Price,Unit Cost,Revenue,Profit,Lead Time (days),Stock Level
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,45,,0.0,,110.75555555555556,4984,2146,18,131
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,36,,0.0,,112.36111111111111,4045,1741,18,97
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,38,,0.0,,112.73684210526316,4284,1844,18,97
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,36,,0.0,,111.36111111111111,4009,1726,18,197
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,50,,0.0,,112.04,5602,2411,18,58
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,48,,0.0,,110.22916666666667,5291,2278,18,197
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,69,,0.0,,110.04347826086956,7593,3268,18,64
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,45,,0.0,,111.93333333333334,5037,2168,18,60
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,41,,0.2,,88.85365853658537,3643,1568,18,23
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,40,,0.0,,111.7,4468,1923,18,62
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,47,,0.0,,110.04255319148936,5172,2226,18,17
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,93,,0.0,,110.87096774193549,10311,4439,18,113
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,55,,0.0,,110.98181818181818,6104,2627,18,155
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,62,,0.2,,89.03225806451613,5520,2376,18,199
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,45,,0.0,,112.28888888888889,5053,2175,18,199
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,51,,0.0,,110.80392156862744,5651,2432,18,91
2025-04-05 02:10:24,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,Supplier A,45,,0.0,,111.93333333333334,5037,2168,18,50
